"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","repartition_line_ids/use_in_tax_closing","include_base_amount","is_base_affected","fiscal_position_ids","original_tax_ids"
"l10n_jp_tax_sale_10","10%","1","General Taxpayer: Standard Rate","10%","sale","","percent","10","l10n_jp_tax_group_10","False","","base","invoice","","S2_3_1B","1","","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S1_3_2B","","True","","","",""
"","","","","","","","","","","","","base","refund","","S2_3_1B","","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_jp_330800","S1_3_2B","","True","","",""
"l10n_jp_tax_sale_8","8%","2","General Taxpayer: Reduced Rate","8%","sale","","percent","8","l10n_jp_tax_group_8","False","","base","invoice","","S2_3_1A","1","","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","S1_3_2A","","True","","",""
"","","","","","","","","","","","","base","refund","","S2_3_1A","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_jp_330800","S1_3_2A","","True","","",""
"l10n_jp_tax_sale_0","0%","3","General Taxpayer: Tax-free (Zero-rate)","0%","sale","","percent","0","l10n_jp_tax_group_0","False","","base","invoice","","S2_3_2C","1","","False","False","l10n_jp_domestic_fiscal_position",""
"","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","","","True","","",""
"","","","","","","","","","","","","base","refund","","S2_3_2C","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_jp_330800","","","True","","",""
"l10n_jp_tax_sale_0_ex","0% EX","4","General Taxpayer: Export","0% Export","sale","","percent","0","l10n_jp_tax_group_0","False","","base","invoice","","S2_3_3C","1","","False","False","l10n_jp_overseas_fiscal_position","l10n_jp_tax_sale_10,l10n_jp_tax_sale_8"
"","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","","","True","","",""
"","","","","","","","","","","","","base","refund","","S2_3_3C","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_jp_330800","","","True","","",""
"l10n_jp_tax_sale_0_exempt","0% EXEMPT","5","General Taxpayer: Tax-exempt","Tax-exempt","sale","","percent","0","l10n_jp_tax_group_exempt","False","","base","invoice","","S2_3_6C||F3_1_15S","1","","False","False","l10n_jp_domestic_fiscal_position,l10n_jp_overseas_fiscal_position",""
"","","","","","","","","","","","100","tax","invoice","l10n_jp_330800","","","True","","",""
"","","","","","","","","","","","","base","refund","","S2_3_6C||F3_1_15S","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_jp_330800","","","True","","",""
